"county_fips_code","county_name","date","confirmed_cases","deaths","total_pop","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","first_confirmed_case_date","population_density","case_fatality_rate","infection_rate","mortality_rate","avg_activity_change_7_days","new_deaths","new_confirmed_cases"
"06027","Inyo County",2020-09-27,192,15,18195,-25,NA,-29,NA,-23,NA,2020-03-22,0.367403318358212,7.8125,0.0105523495465787,0.000824402308326463,0,76,2348
"06027","Inyo County",2020-09-28,193,15,18195,-20,NA,-36,NA,-23,NA,2020-03-22,0.367403318358212,7.7720207253886,0.0106073097004672,0.000824402308326463,0,59,2066
"06027","Inyo County",2020-09-29,195,15,18195,-19,NA,-32,NA,-22,NA,2020-03-22,0.367403318358212,7.69230769230769,0.010717230008244,0.000824402308326463,0,55,4053
"06027","Inyo County",2020-09-30,196,15,18195,-17,NA,-32,NA,-27,NA,2020-03-22,0.367403318358212,7.6530612244898,0.0107721901621325,0.000824402308326463,0,51,3790
"06027","Inyo County",2020-10-01,197,15,18195,-10,NA,-29,NA,-24,NA,2020-03-22,0.367403318358212,7.61421319796954,0.0108271503160209,0.000824402308326463,0,41,3696
"06027","Inyo County",2020-10-02,197,15,18195,-18,NA,-17,NA,-23,NA,2020-03-22,0.367403318358212,7.61421319796954,0.0108271503160209,0.000824402308326463,0,57,3716
"06027","Inyo County",2020-10-03,197,15,18195,-15,NA,-19,NA,-21,NA,2020-03-22,0.367403318358212,7.61421319796954,0.0108271503160209,0.000824402308326463,0,60,3334
"06027","Inyo County",2020-10-04,199,15,18195,-18,NA,-2,NA,-21,NA,2020-03-22,0.367403318358212,7.53768844221105,0.0109370706237977,0.000824402308326463,0,49,2653
"06027","Inyo County",2020-10-05,199,15,18195,-21,NA,-14,NA,-26,NA,2020-03-22,0.367403318358212,7.53768844221105,0.0109370706237977,0.000824402308326463,0,68,2218
"06027","Inyo County",2020-10-06,202,15,18195,-14,NA,-8,NA,-25,NA,2020-03-22,0.367403318358212,7.42574257425743,0.011101951085463,0.000824402308326463,0,55,4288
"06027","Inyo County",2020-10-07,202,15,18195,-11,NA,-8,NA,-25,NA,2020-03-22,0.367403318358212,7.42574257425743,0.011101951085463,0.000824402308326463,0,50,3703
"06027","Inyo County",2020-10-08,204,15,18195,-3,NA,-1,NA,-21,NA,2020-03-22,0.367403318358212,7.35294117647059,0.0112118713932399,0.000824402308326463,0,57,3713
"06027","Inyo County",2020-10-09,204,15,18195,-11,NA,22,NA,-25,NA,2020-03-22,0.367403318358212,7.35294117647059,0.0112118713932399,0.000824402308326463,0,56,3755
"06027","Inyo County",2020-10-10,207,15,18195,17,NA,35,NA,-15,NA,2020-03-22,0.367403318358212,7.2463768115942,0.0113767518549052,0.000824402308326463,0,50,3542
"06027","Inyo County",2020-10-11,210,15,18195,11,NA,79,NA,-22,NA,2020-03-22,0.367403318358212,7.14285714285714,0.0115416323165705,0.000824402308326463,0,50,2995
"06027","Inyo County",2020-10-12,213,15,18195,9,NA,42,NA,-27,NA,2020-03-22,0.367403318358212,7.04225352112676,0.0117065127782358,0.000824402308326463,0,46,2218
"06027","Inyo County",2020-10-13,217,15,18195,4,NA,14,NA,-24,NA,2020-03-22,0.367403318358212,6.91244239631336,0.0119263533937895,0.000824402308326463,0,40,4318
"06027","Inyo County",2020-10-14,220,15,18195,-2,NA,17,NA,-25,NA,2020-03-22,0.367403318358212,6.81818181818182,0.0120912338554548,0.000824402308326463,0,48,3832
"06027","Inyo County",2020-10-15,223,15,18195,0,NA,15,NA,-24,NA,2020-03-22,0.367403318358212,6.72645739910314,0.0122561143171201,0.000824402308326463,0,45,3798
"06027","Inyo County",2020-10-16,224,15,18195,-2,NA,37,NA,-27,NA,2020-03-22,0.367403318358212,6.69642857142857,0.0123110744710085,0.000824402308326463,0,40,3889
"06027","Inyo County",2020-10-17,224,15,18195,20,NA,59,NA,-19,NA,2020-03-22,0.367403318358212,6.69642857142857,0.0123110744710085,0.000824402308326463,0,42,3794
"06027","Inyo County",2020-10-18,228,15,18195,10,NA,57,NA,-16,NA,2020-03-22,0.367403318358212,6.57894736842105,0.0125309150865622,0.000824402308326463,0,34,2938
"06027","Inyo County",2020-10-19,233,15,18195,-12,NA,5,NA,-22,NA,2020-03-22,0.367403318358212,6.43776824034335,0.0128057158560044,0.000824402308326463,0,37,2541
"06027","Inyo County",2020-10-20,236,15,18195,-5,NA,-1,NA,-22,NA,2020-03-22,0.367403318358212,6.35593220338983,0.0129705963176697,0.000824402308326463,0,55,5009
"06027","Inyo County",2020-10-21,237,15,18195,-5,NA,0,NA,-23,NA,2020-03-22,0.367403318358212,6.32911392405063,0.0130255564715581,0.000824402308326463,0,43,4646
"06027","Inyo County",2020-10-22,237,15,18195,-3,NA,2,NA,-23,NA,2020-03-22,0.367403318358212,6.32911392405063,0.0130255564715581,0.000824402308326463,0,42,4399
"06027","Inyo County",2020-10-23,241,15,18195,-4,NA,25,NA,-21,NA,2020-03-22,0.367403318358212,6.22406639004149,0.0132453970871118,0.000824402308326463,0,41,4137
"06027","Inyo County",2020-10-24,244,15,18195,9,NA,35,NA,-17,NA,2020-03-22,0.367403318358212,6.14754098360656,0.0134102775487771,0.000824402308326463,0,53,4539
"06027","Inyo County",2020-10-25,245,16,18195,-1,NA,31,NA,-23,NA,2020-03-22,0.367403318358212,6.53061224489796,0.0134652377026656,0.000879362462214894,0,48,3243
"06027","Inyo County",2020-10-26,245,16,18195,-9,NA,9,NA,-18,NA,2020-03-22,0.367403318358212,6.53061224489796,0.0134652377026656,0.000879362462214894,0,46,2900
"06027","Inyo County",2020-10-27,248,16,18195,-5,NA,2,NA,-22,NA,2020-03-22,0.367403318358212,6.45161290322581,0.0136301181643309,0.000879362462214894,0,40,5475
